Name,Address,Suburb,Postcode,State,Business Category,LGA,Region,,,,,
Gembrook Skate Park,Corner Main Street & Gembrook Road,Gembrook,3783,VIC,Skate Parks,,
Gisborne Skate Park,Gardiner Reserve,Gisborne,3437,VIC,Skate Parks,"Macedon Ranges , Melton",Loddon-Mallee
Glen Waverley Skate Park,Glen Waverly Reserve,Glen Waverley,3150,VIC,Skate Parks,Monash,Eastern Metro;
Greensborough Skate Park,Yando Street,Greensborough,3088,VIC,Skate Parks,Nillumbik ; Banyule,North and West Metropolitan Region
Hastings Skate Park,Marine Parade,Hastings,3915,VIC,Skate Parks,Mornington Peninsula,Southern Metro
Healesville Skate Park,Queens Park,Healesville,3777,VIC,Skate Parks,Yarra Ranges,Eastern Metro
Highett Skate Park,Peterson Reserve,Highett,3190,VIC,Skate Parks,"Kingston , Bayside",Southern Metro
Hoppers Crossing Ramp,Mossfiel Reserve,Hoppers Crossing,3029,VIC,Skate Parks,Wyndham,North and West Metropolitan Region; Metropolitan North & West Region
Inverloch Skate Park,Next to the football oval,Inverloch,3996,VIC,Skate Parks,Bass Coast,Gippsland
Kensington Skate Park,Holland Park,Kensington,3031,VIC,Skate Parks,Moonee Valley ; Melbourne,North and West Metropolitan Region
Keon Park Ramp,J.C Donath Reserve,Keon Park,3073,VIC,Skate Parks,Darebin,North and West Metropolitan Region
Knox Bowls,Lewis Park,Wantirna South,3152,VIC,Skate Parks,Knox,Eastern Metro
Koo Wee Rup Skate Park,Rossiter Road,Koo Wee Rup,3981,VIC,Skate Parks,"Cardinia , Casey",Southern Metro
Korumburra Skate Park,South Gipsland Highway,Korumburra,3950,VIC,Skate Parks,South Gippsland ; South Gippsland Shire,Gippsland; Gippsland Region
Kyneton Skate Park,Corner Victoria & Beauchaml Streets,Kyneton,3444,VIC,Skate Parks,Macedon Ranges,Loddon-Mallee
Lara Skate Park,Austin Park,Lara,3212,VIC,Skate Parks,Greater Geelong,Barwon S/W
Leongatha Skate Bowl,Corner Roughead Street & Yarragon Road,Leongatha,3953,VIC,Skate Parks,South Gippsland ; South Gippsland Shire,Gippsland; Gippsland Region
Lilydale Bowls,Hardy Street,Lilydale,3140,VIC,Skate Parks,Yarra Ranges,Eastern Metro
Meadow Heights Mini Ramp,Buchan Street,Meadow Heights,3048,VIC,Skate Parks,Hume,North and West Metropolitan Region
Melton Skate Park,Melton Recreation Reserve,Melton,3337,VIC,Skate Parks,Wyndham ; Melton,North and West Metropolitan Region; Metropolitan North & West Region
Mill Park Mini Ramp,Mill Park Reserve,Mill Park,3082,VIC,Skate Parks,Whittlesea,North and West Metropolitan Region
Mirboo North Bowl,Central Park,Mirboo North,3871,VIC,Skate Parks,South Gippsland ; South Gippsland Shire,Gippsland; Gippsland Region
Moe Skate Park,George Street,Moe,3825,VIC,Skate Parks,"La Trobe , Baw Baw",Gippsland
Mordialloc Skate Park,Nepean Highway,Mordialloc,3195,VIC,Skate Parks,Kingston,Southern Metro
Mornington Skate Park,Civic Reserve,Mornington,3931,VIC,Skate Parks,Mornington Peninsula,Southern Metro
Myrtleford Ramp,Cundy Park,Myrtleford,3737,VIC,Skate Parks,Alpine,Hume
Narre Warren Skate Park,Ray Bastin Reserve,Narre Warren,3805,VIC,Skate Parks,Casey,Southern Metro
Newhaven Ramp,Boys Home Road,Newhaven,3925,VIC,Skate Parks,Bass Coast,Gippsland
Noble Park Spine Ramp,Memorial Drive,Noble Park,3174,VIC,Skate Parks,Greater Dandenong,Southern Metro
Northcote Skate Park,Separation Street,Northcote,3070,VIC,Skate Parks,Darebin,North and West Metropolitan Region
Ocean Grove Skate Park,Shell Road,Ocean Grove,3226,VIC,Skate Parks,Greater Geelong,Barwon S/W
